id	flags	title
1187	FILE_MISSING:EPUB	A Supposedly Fun Thing I'll Never Do Again: Essays and Argum
1194	FILE_MISSING:EPUB	The Tiger: A True Story of Vengeance and Survival
1195	FILE_MISSING:EPUB	Blood Song
1202	FILE_MISSING:EPUB	Infinite Jest
1230	FILE_MISSING:EPUB	War and Peace
1235	FILE_MISSING:EPUB	Sun-Tzu: The Art of Warfare
1248	FILE_MISSING:EPUB	What Made Maddy Run: The Secret Struggles and Tragic Death o
1258	FILE_MISSING:PDF	C++ Primer
1265	FILE_MISSING:PDF	The Art of Computer Programming, Volume 1
1281	FILE_MISSING:EPUB	Kingpin: How One Hacker Took Over the Billion-Dollar Cybercr
1296	FILE_MISSING:EPUB	Lullabies for Little Criminals
1306	FILE_MISSING:EPUB	This Is How They Tell Me the World Ends: The Cyberweapons Ar
1310	FILE_MISSING:EPUB	Complete Stories and Poems
1320	FILE_MISSING:PDF	Clean Code: A Handbook of Agile Software Craftsmanship
1321	FILE_MISSING:PDF	Introduction to Java Programming
1323	FILE_MISSING:PDF	Clean Architecture: A Craftsman's Guide to Software Structur
1329	FILE_MISSING:PDF	CompTIA Linux+ and LPIC-1 Guide to Linux Certification, Loos
1332	FILE_MISSING:PDF	Calculus: Early Transcendentals
1363	FILE_MISSING:EPUB	The Atrocity Archives
1407	FILE_MISSING:EPUB	Hogfather
1409	FILE_MISSING:EPUB	Moving Pictures
1411	FILE_MISSING:EPUB	Night Watch
1435	FILE_MISSING:EPUB	The Truth
1449	FILE_MISSING:EPUB	Pirate Freedom
1453	FILE_MISSING:EPUB	Reaper's Gale
1460	FILE_MISSING:EPUB	Gardens of the Moon
1464	FILE_MISSING:EPUB	The Shepherd's Crown
1491	FILE_MISSING:PDF	T-SQL Fundamentals, Fourth Edition
1507	FILE_MISSING:PDF	The Linux Command Line, 2nd Edition: A Complete Introduction
1520	FILE_MISSING:PDF	Modern PHP: New Features and Good Practices
1542	FILE_MISSING:EPUB	The Bone Ship's Wake
1546	FILE_MISSING:EPUB	The Empire's Ruin
1547	FILE_MISSING:EPUB	Dance of Shadows
1554	FILE_MISSING:EPUB	Lord of the Silver Bow
1582	FILE_MISSING:MOBI	Shield of Thunder
1599	FILE_MISSING:EPUB	The Dark Feather
1618	FILE_MISSING:EPUB	Dreaming the Hound
1619	FILE_MISSING:EPUB	Stormrider
1639	FILE_MISSING:DJVU	Calculus, Volume 1
1643	FILE_MISSING:PDF	Introductory Combinatorics
1644	FILE_MISSING:PDF	Database Internals: A Deep-Dive Into How Distributed Data Sy
1649	FILE_MISSING:EPUB	Evasion
1658	FILE_MISSING:EPUB	Drift Into Failure: From Hunting Broken Components to Unders
1659	FILE_MISSING:EPUB	Crystal Fire: The Invention of the Transistor and the Birth 
1667	FILE_MISSING:EPUB	Please Kill Me: The Uncensored Oral History of Punk
1673	FILE_MISSING:EPUB	The Friendly Orange Glow: The Untold Story of the Rise of Cy
1693	FILE_MISSING:EPUB	The Hydrogen Sonata
1721	FILE_MISSING:EPUB	Gods of the Wyrdwood
1722	FILE_MISSING:PDF	High-Integrity System Specification and Design
1756	FILE_MISSING:EPUB	Unsouled
1772	FILE_MISSING:EPUB	The Red Knight
1786	FILE_MISSING:EPUB	The Dragons of Babel
1804	FILE_MISSING:EPUB	The Reverie
1858	FILE_MISSING:EPUB	The Recursive Universe: Cosmic Complexity and the Limits of 
1868	FILE_MISSING:EPUB	The Mathematical Theory of Communication
1910	FILE_MISSING:PDF	Algorithm Design
1925	FILE_MISSING:PDF	Windows Internals, Part 2
1958	FILE_MISSING:PDF	Learn You Some Erlang for Great Good!: A Beginner's Guide
1973	FILE_MISSING:PDF	Concurrency in Go: Tools and Techniques for Developers
2007	FILE_MISSING:PDF	Smalltalk-80: The Language and Its Implementation
2031	FILE_MISSING:EPUB	The Infinite Machine
2051	FILE_MISSING:EPUB	Rainbows End
2055	FILE_MISSING:EPUB	The Fugitive Game: Online With Kevin Mitnick
2056	TITLE_CASE_GARBLE:DApps;FILE_MISSING:PDF	Mastering Ethereum: Building Smart Contracts and DApps
2079	FILE_MISSING:PDF	Understanding the Linux Kernel
2100	FILE_MISSING:EPUB	A Deadly Education
2111	FILE_MISSING:PDF	Zones of Control: Perspectives on Wargaming
2125	FILE_MISSING:PDF	Rules of Play: Game Design Fundamentals
2133	FILE_MISSING:PDF	Game Feel: A Game Designer's Guide to Virtual Sensation
2136	FILE_MISSING:PDF	Game Audio Implementation: A Practical Guide Using the Unrea
2168	FILE_MISSING:EPUB	The WoW Diary: A Journal of Computer Game Development [Secon
2206	FILE_MISSING:DJVU	Latex: A Document Preparation System
2231	FILE_MISSING:DJVU	The B-Book: Assigning Programs to Meanings
2235	FILE_MISSING:EPUB	Senlin Ascends
2260	FILE_MISSING:EPUB	A Visit From the Goon Squad
2263	FILE_MISSING:PDF	Complexity Theory: Exploring the Limits of Efficient Algorit
2279	FILE_MISSING:EPUB	The Rage of Dragons
2325	FILE_MISSING:EPUB	Song of the Mysteries
2326	FILE_MISSING:EPUB	Stormed Fortress
2331	FILE_MISSING:EPUB	Traitor's Knot
2338	FILE_MISSING:EPUB	Tesla: Inventor of the Electrical Age
2356	FILE_MISSING:EPUB	A Paradise Built in Hell: The Extraordinary Communities That
2372	FILE_MISSING:PDF	B-Grammatik
2377	FILE_MISSING:EPUB	The Art of Loving
2388	FILE_MISSING:EPUB	Nonviolent Communication: A Language of Life: Life-Changing 
2395	FILE_MISSING:EPUB	On Writing Well, 30th Anniversary Edition: An Informal Guide
2426	FILE_MISSING:EPUB	The Ice Dragon
2443	FILE_MISSING:EPUB	Zorba the Greek
2446	FILE_MISSING:EPUB	You Must Change Your Life
2449	FILE_MISSING:EPUB	The Flinch
2477	FILE_MISSING:EPUB	Facing Codependence
2481	FILE_MISSING:EPUB	Decisive: How to Make Better Choices in Life and Work
2482	FILE_MISSING:EPUB	Thinking in Promises: Designing Systems for Cooperation
2486	FILE_MISSING:EPUB	The Hot Zone
2510	FILE_MISSING:PDF	The Art of R Programming: A Tour of Statistical Software Des
2520	FILE_MISSING:PDF	Expert F# 4.0
2559	FILE_MISSING:PDF	If Hemingway Wrote JavaScript
2591	FILE_MISSING:EPUB	Kitchen
2596	FILE_MISSING:EPUB	A Memory Called Empire
2607	FILE_MISSING:EPUB	The Secret Place
2610	FILE_MISSING:EPUB	The Light Brigade
2624	FILE_MISSING:EPUB	The Origins of Totalitarianism
2628	FILE_MISSING:EPUB	The Story of the Lost Child
2629	FILE_MISSING:EPUB	Wide Sargasso Sea
2632	FILE_MISSING:EPUB	We Spread
2643	FILE_MISSING:EPUB	An Education in Malice
2644	FILE_MISSING:EPUB	The Magician King
2654	FILE_MISSING:PDF	Engineering a Safer World: Systems Thinking Applied to Safet
2664	FILE_MISSING:EPUB	Echopraxia
2666	FILE_MISSING:EPUB	The Machiavellians: Defenders of Freedom
2706	FILE_MISSING:PDF	Elements of Information Theory
2710	FILE_MISSING:PDF	Designing Type
2726	FILE_MISSING:PDF	Reasoning About Knowledge
2730	FILE_MISSING:PDF	Foundations of Game Engine Development: Mathematics
2748	FILE_MISSING:EPUB	Seeing Things as They Are: A Theory of Perception
2761	FILE_MISSING:EPUB	Among Thieves
2773	FILE_MISSING:EPUB	Of Monsters and Mainframes
2776	FILE_MISSING:PDF	C++ Concurrency in Action
2779	FILE_MISSING:PDF	Optimizing Java: Practical Techniques for Improving Jvm Appl
2796	AUTHOR_CROWD:7;FILE_MISSING:EPUB	The Mongoliad: Book Three
2797	AUTHOR_CROWD:7;FILE_MISSING:EPUB	The Mongoliad: Book Two
2799	FILE_MISSING:EPUB	Dreamer: A Prequel to the Mongoliad
2810	FILE_MISSING:EPUB	Yours Truly
2822	FILE_MISSING:EPUB	The Tourist
2849	FILE_MISSING:EPUB	Iron Flame
2865	FILE_MISSING:EPUB	The Hunter
2869	FILE_MISSING:PDF	Diagnostic and Statistical Manual of Mental Disorders, Fifth
2879	FILE_MISSING:EPUB	Do It Tomorrow and Other Secrets of Time Management
2892	FILE_MISSING:PDF	Advanced C and C++ Compiling
2911	FILE_MISSING:PDF	Embracing Modern C++ Safely
2947	FILE_MISSING:PDF	Rust Atomics and Locks: Low-Level Concurrency in Practice
2955	FILE_MISSING:PDF	Expert Python Programming
2960	FILE_MISSING:EPUB	A Burglar's Guide to the City
2964	FILE_MISSING:PDF	Thinking With Types. Type-Level Programming in Haskell
2975	FILE_MISSING:EPUB	Tools for Conviviality
2982	FILE_MISSING:EPUB	The Black Hawks
2995	FILE_MISSING:EPUB	How to Watch Basketball Like a Genius: What Game Designers, 
3004	FILE_MISSING:PDF	The Phoenix Project: A Novel About IT, DevOps, and Helping Y
3006	FILE_MISSING:PDF	The Manager's Path: A Guide for Tech Leaders Navigating Grow
3017	FILE_MISSING:EPUB	Too Like the Lightning
3020	FILE_MISSING:PDF	The Art of Deception: Controlling the Human Element of Secur
3033	FILE_MISSING:EPUB	The Crimson Campaign
3044	FILE_MISSING:EPUB	LikeWar: The Weaponization of Social Media
3048	FILE_MISSING:EPUB	Future Crimes
3070	FILE_MISSING:EPUB	Wild Cards I
3094	FILE_MISSING:PDF	Python Cookbook, Third Edition
3120	FILE_MISSING:PDF	C in a Nutshell
3160	FILE_MISSING:EPUB	Thanks for the Feedback: The Science and Art of Receiving Fe
3191	FILE_MISSING:EPUB	World War Z: An Oral History of the Zombie War
3230	FILE_MISSING:EPUB	Strange Pictures: A Novel
3259	FILE_MISSING:PDF	Weaving the Web: The Original Design and Ultimate Destiny of
3264	FILE_MISSING:EPUB	Weaving the Dark Web: Legitimacy on Freenet, Tor, and I2P
3273	FILE_MISSING:EPUB	The House on the Borderland
3302	FILE_MISSING:EPUB	Industrial Society and Its Future and Other Works
3315	FILE_MISSING:EPUB	Manufacturing Consent: The Political Economy of the Mass Med
3324	FILE_MISSING:PDF	Starting FORTH
3344	FILE_MISSING:EPUB	The Righteous Mind: Why Good People Are Divided by Politics 
3360	FILE_MISSING:PDF	The Flavor Equation: The Science of Great Cooking Explained 
3382	AUTHOR_CROWD:9;FILE_MISSING:EPUB	Under the Thumb
3393	FILE_MISSING:EPUB	Toothsucker
3397	FILE_MISSING:EPUB	Olympos
3419	FILE_MISSING:EPUB	1177 B.C.: The Year Civilization Collapsed
3425	FILE_MISSING:EPUB	The Vikings: A History
3432	FILE_MISSING:EPUB	The Peloponnesian War
3445	FILE_MISSING:EPUB	Nothing to Envy: Real Lives in North Korea
3491	FILE_MISSING:EPUB	Middlesex
3493	FILE_MISSING:EPUB	Evicted: Poverty and Profit in the American City
3498	FILE_MISSING:EPUB	If We Burn: The Mass Protest Decade and the Missing Revoluti
3505	FILE_MISSING:EPUB	Fifteen Dogs
3521	FILE_MISSING:EPUB	Trickster Drift
3522	FILE_MISSING:EPUB	American War
3543	FILE_MISSING:DJVU	Communicating and Mobile Systems: The Pi-Calculus
3570	FILE_MISSING:PDF	Call of Cthulhu: Keeper's Rulebook
3584	FILE_MISSING:EPUB	The Sum of All Fears
3611	FILE_MISSING:EPUB	Kokoro
3634	FILE_MISSING:EPUB	The Collector
3638	FILE_MISSING:EPUB	Perfume: The Story of a Murderer
3647	FILE_MISSING:EPUB	Lord of the Flies
3688	FILE_MISSING:EPUB	Pihkal: A Chemical Love Story
3696	FILE_MISSING:EPUB	Somewhere Beyond the Sea
3742	FILE_MISSING:EPUB	The Te of Piglet
3746	FILE_MISSING:EPUB	The Eternal Tao Te Ching: The Philosophical Masterwork of Ta
3761	FILE_MISSING:EPUB	The Heretic Kings
3777	FILE_MISSING:EPUB	Bloodchild
3817	FILE_MISSING:PDF	Mutant: Year Zero Core Rulebook
3832	FILE_MISSING:EPUB	Frederick Douglass: Prophet of Freedom
3834	FILE_MISSING:EPUB	Unwell Women: Misdiagnosis and Myth in a Man-Made World
3860	FILE_MISSING:PDF	Vaesen
3905	FILE_MISSING:PDF	Across A Thousand Dead Worlds: Starting Crew and Exploration
3914	FILE_MISSING:PDF	The Arts of PostgreSQL: Turn Thousands of Lines of Code Into
3930	FILE_MISSING:EPUB	Mission Critical
3932	FILE_MISSING:EPUB	The Chaos Agent
3941	FILE_MISSING:EPUB	The Cat Whisperer: Why Cats Do What They Do--And How to Get 
3945	TITLE_CASE_GARBLE:mPETa;FILE_MISSING:EPUB	ComPETability: Solving Behavior Problems in Your Multi-Cat H
3969	FILE_MISSING:PDF	Blade Runner RPG: Core Rules
3972	FILE_MISSING:PDF	The Wildsea: Core Rules
3981	FILE_MISSING:PDF	Nim in Action
3985	FILE_MISSING:PDF	Eat the Reich
4017	FILE_MISSING:PDF	Over the Edge: The Roleplaying Game of Surreal Danger
4034	FILE_MISSING:PDF	Blue Planet: Player's Guide
4059	FILE_MISSING:EPUB	The War Beyond
4100	FILE_MISSING:EPUB	Debt of Honor
4114	FILE_MISSING:EPUB	Ghost Fleet
4176	FILE_MISSING:PDF	Lamentations of the Flame Princess: Referee Book
4181	FILE_MISSING:PDF	Frostbitten and Mutilated
4217	FILE_MISSING:PDF	Exalted Essence
4263	FILE_MISSING:PDF	Blades in the Dark (v8.2)
4297	FILE_MISSING:PDF	Kingdom RPG
4321	FILE_MISSING:PDF	Zenobia: Fantasy Roleplaying in the Desert Kingdoms
4366	FILE_MISSING:PDF	Old-School Essentials Classic Fantasy: Rules Tome
4396	FILE_MISSING:EPUB	The Cure for Living, Part One
4441	FILE_MISSING:PDF	Advanced Animation and Rendering Techniques: Theory and Prac
4465	FILE_MISSING:PDF	Symbaroum - The Promised Land
4503	FILE_MISSING:PDF	Shadow of the Demon Lord: Tombs of the Desolation
4511	FILE_MISSING:PDF	Symbaroum - Symbar: Mother of Darkness
4531	FILE_MISSING:PDF	Errant: A Fantasy Role Playing Game
4573	FILE_MISSING:PDF	The Black Hack (2e)
4577	FILE_MISSING:PDF	Beam Saber
4608	FILE_MISSING:PDF	MÖRK BORG: Putrescence Regnant
4609	FILE_MISSING:PDF	Play Unsafe
4638	FILE_MISSING:EPUB	The Wide, Carnivorous Sky and Other Monstrous Geographies
4660	FILE_MISSING:PDF	Basic Linguistic Theory, Volume 2: Grammatical Topics
4700	FILE_MISSING:PDF	The Shadow of Yesterday
4721	FILE_MISSING:PDF	Feedback Control of Dynamic Systems (8th ed)
4743	FILE_MISSING:PDF	Knock! #1
4746	FILE_MISSING:PDF	From Newspeak to Cyberspeak: A History of Soviet Cybernetics
4775	FILE_MISSING:PDF	RuneQuest: Roleplaying in Glorantha
4783	FILE_MISSING:EPUB	Ghost Road Blues
4800	FILE_MISSING:PDF	His Majesty the Worm
4815	FILE_MISSING:EPUB	The Algebraist
4816	FILE_MISSING:PDF	Vampire the Masquerade: 20th Anniversary Edition
4852	FILE_MISSING:PDF	GURPS Basic Set: Characters
4865	FILE_MISSING:PDF	GURPS Fantasy
4903	FILE_MISSING:PDF	Maze Rats Revised
4931	FILE_MISSING:PDF	Delta Green: Control Group
4938	FILE_MISSING:PDF	The Dark Crystal: The Adventure Game
4945	FILE_MISSING:PDF	Dolmenwood: Winter's Daughter
4980	FILE_MISSING:PDF	The Sword, The Crown, and The Unspeakable Power
4986	FILE_MISSING:PDF	Draw Steel: Book One: Heroes
4987	FILE_MISSING:PDF	Fabula Ultima: TTJRPG - Atlas: Natural Fantasy
5007	FILE_MISSING:PDF	Shadows of Esteren: Book 1 - Universe
5024	FILE_MISSING:EPUB	Your Name Here
5037	FILE_MISSING:PDF	Blood & Bronze
5046	FILE_MISSING:PDF	The Lord of the Rings Roleplaying: Shire Adventures
5047	FILE_MISSING:DJVU	Visual Complex Functions: An Introduction With Phase Portrai
5048	FILE_MISSING:PDF	Teeth
5078	FILE_MISSING:PDF	City State of the Invincible Overlord
5086	FILE_MISSING:PDF	Programmer's Guide to NCurses
5125	AUTHOR_CROWD:5;FILE_MISSING:PDF	Fallout: The Roleplaying Game - Settler's Guide Book
5137	FILE_MISSING:EPUB	The Lifecycle of Software Objects
5153	FILE_MISSING:EPUB	The Forty Days of Musa Dagh
5166	FILE_MISSING:PDF	Grokking AI Algorithms, Second Edition: How AI Solves Comple
5169	FILE_MISSING:EPUB	Heaven's River
5195	FILE_MISSING:PDF	Never Going Home: Once More Unto the Breach
5198	FILE_MISSING:EPUB	Childhood's End
5203	AUTHOR_CROWD:9;FILE_MISSING:PDF	Dark Heresy: Core Rulebook (2e)
5262	FILE_MISSING:PDF	Designing Event-Driven Systems
5263	FILE_MISSING:PDF	Software Defined Networks: A Comprehensive Approach
5272	FILE_MISSING:EPUB	A Path to Coldness of Heart
5307	FILE_MISSING:EPUB	Kingdom of Bones
5308	FILE_MISSING:EPUB	Age of the King
5309	FILE_MISSING:EPUB	Last of the Dragorn
5313	FILE_MISSING:EPUB	A New World Begins: The History of the French Revolution
5317	FILE_MISSING:EPUB	Gwangju Uprising: The Rebellion for Democracy in South Korea
5319	FILE_MISSING:EPUB	The Great Successor: The Divinely Perfect Destiny of Brillia
5329	FILE_MISSING:EPUB	My Heart Is a Chainsaw
5335	FILE_MISSING:EPUB	Sandrunners
5336	FILE_MISSING:EPUB	A Duel of Evils
5377	FILE_MISSING:EPUB	Persepolis Rising
5378	FILE_MISSING:EPUB	Strange Dogs
5386	FILE_MISSING:EPUB	The Butcher of Anderson Station
5405	FILE_MISSING:EPUB	The Snowman
5407	FILE_MISSING:PDF	Modern C++ Programming Cookbook
5412	FILE_MISSING:EPUB	Thinking in Bets: Making Smarter Decisions When You Don't Ha
5413	FILE_MISSING:PDF	Introduction to Embedded Systems: A Cyber-Physical Systems A
5439	FILE_MISSING:EPUB	The Paradox Hotel
5449	FILE_MISSING:EPUB	Ghosts of My Life: Writings on Depression, Hauntology and Lo
5462	FILE_MISSING:EPUB	Catherine the Great: Portrait of a Woman
5463	FILE_MISSING:EPUB	Nicholas and Alexandra: The Tragic, Compelling Story of the 
5484	FILE_MISSING:EPUB	The Eternal Champion
5548	FILE_MISSING:EPUB	Hunter's Redoubt
5555	FILE_MISSING:EPUB	The Riven Shield
5560	FILE_MISSING:EPUB	Firstborn
5638	FILE_MISSING:EPUB	White Gold Wielder
5644	FILE_MISSING:EPUB	The Left Hand of God
5649	FILE_MISSING:EPUB	Mage's Blood
5654	FILE_MISSING:EPUB	The Obsidian Heart
5657	FILE_MISSING:EPUB	Romancing the Duke
5668	FILE_MISSING:EPUB	John Adams
5692	FILE_MISSING:PDF	Rapid Development
5697	FILE_MISSING:EPUB	Queens' Play
5717	FILE_MISSING:PDF	The Vegetarian Silver Spoon: Classic and Contemporary Italia
5724	FILE_MISSING:EPUB	Surrender to the Will of the Night
5764	FILE_MISSING:PDF	Network Warrior
5768	FILE_MISSING:PDF	7th Sea
5784	FILE_MISSING:EPUB	Saturation Point
5787	FILE_MISSING:PDF	Dark Heresy: Dead Stars
5803	FILE_MISSING:PDF	C Programming: A Modern Approach
5825	FILE_MISSING:EPUB	Lila
5830	FILE_MISSING:EPUB	Menewood
5837	FILE_MISSING:EPUB	The Mill on the Floss
5873	FILE_MISSING:EPUB	The Trees
5902	FILE_MISSING:EPUB	The Hyena and the Hawk
5968	FILE_MISSING:EPUB	Genius Makers: The Mavericks Who Brought AI to Google, Faceb
5979	FILE_MISSING:EPUB	The Fallen Fortress
5989	FILE_MISSING:EPUB	The Two Swords
6017	FILE_MISSING:EPUB	A Rage in Harlem
6018	FILE_MISSING:EPUB	The Concrete Blonde
6042	FILE_MISSING:PDF	The Nature of Order: An Essay on the Art of Building and the
6053	FILE_MISSING:PDF	The Art of Mexican Cooking
6073	FILE_MISSING:EPUB	You Deserve a Tech Union
6079	FILE_MISSING:EPUB	Capital and Ideology
6092	FILE_MISSING:EPUB	Lombard Street
6106	FILE_MISSING:PDF	Beautiful Evidence
6168	FILE_MISSING:EPUB	A Perfect Spy
6198	FILE_MISSING:PDF	Probabilistic Machine Learning: Advanced Topics
6260	FILE_MISSING:PDF	The French Laundry, Per Se
6281	FILE_MISSING:EPUB	Essays of Michel De Montaigne
6299	FILE_MISSING:EPUB	The Devil's Star
6308	FILE_MISSING:EPUB	A Conspiracy of Faith
6321	FILE_MISSING:EPUB	Out of Sight
6331	FILE_MISSING:PDF	Programming in Scala, Fifth Edition
6335	FILE_MISSING:PDF	Programming Scala: Scalability = Functional Programming + Ob
6336	FILE_MISSING:PDF	More OCaml: Algorithms, Methods & Diversions
6344	FILE_MISSING:PDF	Programming in Haskell
6346	FILE_MISSING:DJVU	Practical Programming in Tcl & Tk
6354	FILE_MISSING:PDF	Simula Begin
6364	FILE_MISSING:PDF	Flutter in Action
6390	FILE_MISSING:EPUB	Hardwired
6393	FILE_MISSING:EPUB	The Wizards of Langley: Inside the CIA's Directorate of Scie
6421	FILE_MISSING:EPUB	The Wages of Destruction: The Making and Breaking of the Naz
6431	FILE_MISSING:EPUB	Absolution Gap
6454	FILE_MISSING:PDF	13th Age 2e - Gamemaster's Guide
6482	FILE_MISSING:EPUB	Kudos
6490	FILE_MISSING:EPUB	Leviathan
6519	FILE_MISSING:EPUB	Play of Shadows
6536	FILE_MISSING:PDF	The Triads as Business
6543	FILE_MISSING:EPUB	Business or Blood: Mafia Boss Vito Rizzuto's Last War
6560	FILE_MISSING:EPUB	Wiseguy
6593	FILE_MISSING:EPUB	If Not, Winter: Fragments of Sappho
6604	FILE_MISSING:PDF	Effective Rust: 35 Specific Ways to Improve Your Rust Code
6621	FILE_MISSING:EPUB	Lover Revealed
6628	FILE_MISSING:EPUB	Credence
6647	FILE_MISSING:EPUB	Sinner
6707	FILE_MISSING:PDF	777 and Other Qabalistic Writings of Aleister Crowley
6741	FILE_MISSING:EPUB	If He Hollers Let Him Go
6743	FILE_MISSING:EPUB	Whispers of the Storm
6745	FILE_MISSING:EPUB	See You at the Top
6752	FILE_MISSING:EPUB	Way of the Wizard
6770	FILE_MISSING:EPUB	The Silence of Unworthy Gods
6809	FILE_MISSING:EPUB	Till We Have Faces: A Myth Retold
6814	FILE_MISSING:EPUB	The Siege of Krishnapur
6828	FILE_MISSING:EPUB	The Female Man
6843	FILE_MISSING:EPUB	The Makioka Sisters
6864	FILE_MISSING:EPUB	Long Walk to Freedom
6875	FILE_MISSING:EPUB	My Year of Rest and Relaxation: A Novel
6881	FILE_MISSING:EPUB	The Monk
6884	FILE_MISSING:EPUB	Dark Money: The Hidden History of the Billionaires Behind th
6918	FILE_MISSING:EPUB	Track Changes: A Literary History of Word Processing
6930	FILE_MISSING:PDF	Handbook of Practical Logic and Automated Reasoning
6941	FILE_MISSING:EPUB	House Next Door
6949	FILE_MISSING:EPUB	It Happened One Summer: A Novel
6950	FILE_MISSING:EPUB	The Wall of Winnipeg and Me: A Novel
6988	FILE_MISSING:EPUB	The Auctioneer
6992	FILE_MISSING:EPUB	Red, White & Royal Blue: A Novel
6996	FILE_MISSING:EPUB	Making Movies
7004	FILE_MISSING:EPUB	Don't Sleep, There Are Snakes: Life and Language in the Amaz
7009	FILE_MISSING:EPUB	The Anthropocene Reviewed: Essays on a Human-Centered Planet
7024	FILE_MISSING:EPUB	Braiding Sweetgrass: Indigenous Wisdom, Scientific Knowledge
7036	FILE_MISSING:EPUB	A Walk in the Woods: Rediscovering America on the Appalachia
7041	FILE_MISSING:PDF	Outgunned - Assistant Director
7055	FILE_MISSING:EPUB	Inherent Vice
7069	FILE_MISSING:EPUB	Shareware Heroes: The Renegades Who Redefined Gaming at the 
7104	FILE_MISSING:EPUB	The Mantis
7111	FILE_MISSING:EPUB	Satan's Affair
7117	FILE_MISSING:EPUB	Slouching Towards Utopia: An Economic History of the Twentie
7135	FILE_MISSING:EPUB	The Economy of Cities
7136	FILE_MISSING:PDF	Dieter Rams: As Little Design as Possible
7143	FILE_MISSING:EPUB	How Fiction Works
